emp_no,first_name,last_name,gender,salary,to_date
12308,Mototsugu,Cronau,M,58741,1996-09-20
12312,Chenye,Velasco,F,52344,1996-12-18
12335,Arnould,Genin,F,40000,2000-06-19
12343,Sorina,Slaats,M,52134,2000-09-03
12451,Pramod,Marzano,M,40000,1995-03-18
12478,Yahiko,Hopewell,M,50404,1997-09-05
12478,Yahiko,Hopewell,M,50404,1998-12-11
12487,Mona,Reghbati,F,40000,1998-12-11
12493,Filipp,Menhardt,F,40000,1988-12-04
12557,Stafford,Kopetz,M,41840,1994-09-23
12635,Xinyu,Restivo,F,40000,1995-04-07
12637,Poorav,Karner,M,44370,1999-01-08
12664,Zhonghua,Parveen,M,40000,2001-03-12
12678,Carrsten,Borovoy,M,44529,2000-04-22
12694,Kazuhira,Luders,M,53019,1998-05-30
12803,Gad,Boissier,M,91789,1999-08-30
12729,Nahla,Rahier,F,51796,2000-09-10
12730,Barry,Perl,F,40000,1998-03-24
12759,LiMin,Kuszyk,M,49963,1996-01-02
12775,Mariangiola,Berendt,F,69805,2002-04-05
12775,Mariangiola,Berendt,F,69805,1993-10-17
12816,Freyja,Ramras,F,66194,1999-09-08
12846,Krisda,Cyne,F,63962,2001-01-15
12972,Juyoung,Azevdeo,M,40000,1990-08-07
12974,Gift,Frolund,M,93034,1994-11-03
12853,Mang,Brobst,M,47160,1996-10-03
12876,Apostol,Goodrum,M,42277,2000-12-24
13012,Florina,Harbusch,M,40000,2002-05-24
12888,Martien,Erni,F,41673,1995-04-07
13049,Fan,Naudin,F,60266,1986-01-08
12922,Jacqueline,Porenta,M,69441,1993-09-16
13062,Xinglin,Baak,M,55665,2000-05-31
13075,Rosella,Morrin,M,40000,1990-09-02
12937,Arup,Cincotta,M,59206,1992-12-14
13113,Kwun,Landherr,M,66941,1996-10-07
12951,Mohammad,Keirsey,F,60566,1988-06-26
13133,Guther,Senzako,M,67777,1991-06-13
12951,Mohammad,Keirsey,F,60566,1994-07-27
13333,Yoshinari,Hennebert,M,50997,1998-08-30
13170,Cheong,Bernardeschi,M,49012,1998-09-21
13343,Heon,Usery,M,40000,1995-05-06
13373,Juichirou,Naumovich,M,82749,1993-04-05
13192,Rosita,Flowers,M,43986,2001-01-19
13210,Jianhua,Klassen,M,83961,1997-08-10
13221,Premsyl,Famili,F,47724,1998-10-21
13243,Fay,Huxford,M,67269,1999-11-11
13299,Guiseppe,Butner,M,40000,1998-09-13
13305,Bikash,Herath,M,104969,1995-01-19
13521,Jaewoo,Tasistro,F,40000,1991-02-18
13560,Sibyl,Jeong,M,40000,1998-03-12
13576,Jungsoon,Engberts,F,73022,1997-02-18
13578,Tadahiko,Christianini,F,62885,1997-04-13
13651,Stamatina,Plesums,F,62278,1990-03-31
13402,Augustine,Dulli,M,40000,2002-02-26
13684,Elvia,Christ,M,79100,2002-03-30
13698,Domenico,Mitchem,M,57541,1997-04-20
13422,Vishwani,Gerlach,F,59466,1991-11-21
13458,Feipei,Nivat,F,41375,2002-02-02
13914,Serge,Albarhamtoshy,F,41526,1989-01-15
13747,Masaru,Capobianchi,F,47752,1987-12-10
13768,Sedat,Lovengreen,M,40000,1990-09-18
13788,Takahira,Furedi,F,40000,1997-04-12
13795,Mayuri,Gewali,M,49749,1988-03-13
13801,Shih,Mayerwieser,M,64182,1999-06-25
13841,Christophe,Spinelli,M,52277,1995-10-19
13916,Vidya,Wynblatt,M,90797,2002-01-12
13930,Sukumar,Chartres,M,78867,2000-04-20
13979,Turgut,Highland,F,50381,1997-12-26
13883,Kwangyoen,Barreiro,M,40000,1991-08-26
13986,Geraldo,Ramsey,F,46099,1989-01-19
14005,Vojin,Stellhorn,M,40000,1996-10-04
14102,Feixiong,Jording,F,48200,1991-02-21
14113,Along,Herber,F,46841,1988-01-24
14015,Manibrata,Picaronny,M,63084,1998-08-25
14045,Ymte,Alpin,M,40000,1997-08-12
14139,Sachin,Conry,M,40000,1996-12-26
14257,Kwok,Massonet,F,40000,2000-07-13
14197,Adin,Chachaty,F,52474,2000-12-24
14224,Guther,Conta,M,40000,1986-10-23
14237,Abdulla,Gerlach,F,57219,1998-03-22
14254,Chikara,Narahara,F,50266,1996-11-14
14441,Divine,Manders,F,40000,1990-05-25
14275,Tristan,Aseltine,F,94782,2000-11-17
14287,Masali,Highland,M,45483,1995-02-09
14287,Masali,Highland,M,45483,1999-11-10
14289,Paraskevi,Gist,F,60863,2001-05-09
14293,Qunsheng,Middleton,M,40000,1990-09-12
14513,Samphel,Barreiro,M,83273,1991-02-04
14514,Fay,Denny,M,40000,1997-03-14
14323,Golgen,Leslie,F,40000,1997-10-22
14533,Kensei,Borovoy,M,48376,1999-11-24
14539,Ashish,Danlos,M,42975,1998-12-17
14345,Barry,Ramsey,F,61910,1990-07-15
14372,Saniya,Srimani,F,57667,2002-06-02
14380,Shigeu,Heemskerk,M,47819,1990-01-27
14380,Shigeu,Heemskerk,M,47819,1997-01-20
14817,Gaurav,Masaki,M,41203,1993-04-08
14655,Jingling,Segond,M,65742,2002-04-09
14683,Alois,Basart,M,41107,1999-10-11
14846,Magy,Joslin,M,40002,1997-05-27
14713,Terresa,Ballarin,F,58566,1999-06-02
14722,Sachin,Jakobus,F,72726,1999-05-04
14854,Angus,Perko,M,48875,2001-06-16
14865,Ute,Serra,F,61175,1999-03-11
14865,Ute,Serra,F,61175,1995-12-22
14871,Arnd,Kaiserswerth,F,72116,1999-06-23
14899,Alejandro,Casley,M,64365,1995-11-27
14774,Gio,Sigstam,M,40000,2000-08-12
14785,Zhonghua,Kaiser,M,46936,1998-09-24
14905,Karsten,Baja,F,41067,1987-12-28
14908,Kerhong,Flanders,F,40000,2001-11-12
14955,Boguslaw,Kalefeld,F,45564,1994-11-22
14959,Kerryn,Hiyoshi,F,48289,2001-07-14
14966,Zhanqiu,Underwood,F,80123,1998-08-23
14987,Tiina,Demeyer,F,40719,2001-12-20
15019,Qingxiang,Shokrollahi,F,41721,1991-06-16
15024,Yurii,Rullman,M,40000,2000-12-10
15199,Heeju,Bernardinello,F,49278,2000-08-15
15105,Sudhanshu,Itzigehl,M,75800,1991-03-31
15202,Pranay,Irland,M,40000,1990-04-28
15113,Zhiguo,Giaccio,M,62081,1993-01-26
15205,Cheong,Rodiger,M,43795,1995-01-04
15258,Guther,Karcich,F,40000,1999-10-02
15133,Kagan,Malinowski,F,40000,1998-01-04
15151,Urs,Pouyioutas,F,61253,2000-06-02
15278,Adam,Rohrbach,M,40000,1994-11-10
15295,Lobel,Peak,M,54607,1995-11-09
15312,Deniz,Linnainmaa,M,40508,1998-02-25
15370,Chuanyi,Nilsson,F,67631,1997-11-15
15312,Deniz,Linnainmaa,M,40508,1997-07-18
15334,Luerbio,Kuzuoka,M,40000,2001-10-22
15386,Genki,Sambasivam,F,77209,1999-06-18
15410,Wilmer,Kushner,F,58123,2002-04-15
15569,Rosalie,Garnick,M,40000,1998-12-12
15623,Vishu,Falby,M,52506,2000-02-08
15539,Shigeichiro,Spieker,M,47803,1996-07-17
15545,Masadi,Suri,M,40000,1993-01-06
15548,Sanjai,Caine,M,48171,1995-06-16
15641,Jaana,Roisin,M,56588,2001-04-19
15666,Pintsang,Rothenberg,F,40000,1999-06-11
15715,Insup,Ibel,F,40000,2002-01-15
15753,Sanjay,Breugel,M,40000,2002-05-02
15753,Sanjay,Breugel,M,40000,1996-03-05
15762,Kien,Impagliazzo,M,56568,1997-12-19
15728,Jaewon,Nooteboom,F,40000,2002-05-30
15943,Yakkov,Demke,M,40000,2000-12-16
15819,Magdalena,Rajcani,M,63847,1999-07-14
15866,Angel,Seiwald,M,40000,1987-03-19
15946,Sham,Onuegbe,M,70769,1997-12-03
15978,Kaijung,Wielonsky,F,40000,1997-09-07
15901,Marsja,Fargier,F,40000,1988-03-04
15911,Shaibal,Viele,M,45602,1993-12-20
15912,Piyawadee,Cichocki,M,93126,1998-05-18
15920,Sanjit,Laurillard,M,48494,1993-03-26
16019,Chaoyi,Heystek,F,40000,1986-10-12
16105,Alper,Tetzlaff,F,55207,1996-05-08
16146,Cathie,Meriste,M,53931,1998-05-11
16164,Janche,Kinley,F,67467,2001-05-31
16164,Janche,Kinley,F,67467,1990-10-19
16302,Bedir,Speek,M,40000,1988-12-06
16192,Leandro,Sigstam,M,40000,1999-06-13
16203,Mori,Kulisch,F,40000,1994-07-06
16212,Izaskun,Glinert,F,40000,1995-05-23
16222,Shaz,Thummel,F,40000,1997-01-11
16222,Shaz,Thummel,F,40000,1996-03-04
16230,Ung,Babu,M,40000,1996-05-25
16331,Giap,Garnham,M,63123,2000-12-27
16237,Slavian,Leaver,M,83471,1993-07-12
16255,Tomokazu,Ohori,F,40000,2001-03-23
16360,Sham,Jonsson,F,47148,1997-05-02
16272,Shuho,Zeleznik,M,40000,2002-04-05
16373,Narain,Aseltine,F,98832,1999-05-19
16478,Bedir,Wroclawski,F,40000,1998-09-11
16500,Elvis,Servieres,M,46887,2000-09-10
16396,Guangming,Yoshimura,M,77582,2000-04-15
16551,Sadegh,Ranon,M,82980,2001-08-21
16557,Fan,Majewski,M,53197,2002-03-20
16608,Boguslaw,Greibach,M,40000,1988-08-26
16679,Domenick,Cummings,F,40000,2001-02-10
16399,Apostol,Collette,F,59384,2000-08-24
16447,Zhiguo,Savasere,F,40000,2000-11-06
16706,Gad,Krone,M,63470,1999-06-24
16733,Zijian,Serna,M,40000,1989-08-13
16759,Vojin,Masaki,M,40000,1998-02-23
16852,Yefim,Fontet,F,48864,1988-02-23
16806,Sreekrishna,Dayana,M,72405,1996-02-12
16832,Mads,Binkley,F,51405,1993-01-23
16858,Akeno,Gustavson,M,67670,1995-08-09
16862,JiYoung,Eppinger,M,40000,1992-09-30
16868,Gou,Vandervoorde,F,58292,1997-06-22
16885,Ronghao,Stentiford,M,72252,1997-08-01
16910,Kazunori,Botman,M,57230,1990-10-03
16929,Murthy,Burnard,F,52679,2000-08-12
16929,Murthy,Burnard,F,52679,1998-12-01
16996,Shigenori,Millington,F,77644,2000-10-29
17047,Qingxiang,Rijsenbrij,F,43113,1988-03-06
17068,Bodh,Gopalakrishnan,F,40000,1995-04-14
17076,Gudjon,Hitomi,M,60092,1990-05-16
17097,Cathie,Berztiss,F,46803,1990-03-26
17103,Takahiro,Feldmann,M,48187,1996-05-21
17112,Yuguang,Vickson,F,40000,1998-07-16
17112,Yuguang,Vickson,F,40000,1997-03-09
16999,Bezalel,Sadowsky,F,40000,1999-04-13
17224,Denis,Back,M,40000,1998-01-21
17140,Mabhin,Schwabacher,F,40000,1997-12-21
17140,Mabhin,Schwabacher,F,40000,1998-06-15
17154,Aria,Milicia,M,40000,1995-02-05
17158,Danai,Vecchio,F,48426,1999-10-24
17185,Danai,Wilfing,F,75574,1996-11-24
17204,Jacqueline,Erdmenger,M,40000,2002-01-01
17275,Shmuel,Danlos,F,46660,1993-03-25
17293,Demin,Alpin,F,40000,2001-08-01
17322,Candida,Fordan,F,46840,1997-09-10
17416,Kitty,Rissanen,F,40000,1999-03-22
17428,Pantung,Keustermans,F,40000,1995-09-14
17329,Shaunak,Tyugu,M,58239,1999-03-14
17448,Makato,Belinskaya,F,40728,1992-06-20
17339,Fan,Mullainathan,F,58306,2001-02-18
17478,Tuval,Merle,F,40000,1997-08-23
17361,Macha,Griswold,F,55784,2001-12-27
17507,Yurij,Turnbull,F,84985,1999-12-10
17512,Frederique,Hofmeyr,F,40000,2000-10-27
17516,Rosita,Dulli,F,40090,1992-11-17
17361,Macha,Griswold,F,55784,1988-11-11
17589,Xuejia,Denti,M,47493,1989-04-16
17559,Annemarie,Papastamatiou,M,53573,2002-03-31
17625,Prodip,Mandelberg,F,47447,2000-12-04
17681,Eran,Schauser,M,67824,2000-02-29
17796,Alejandro,Impagliazzo,F,67933,1997-06-26
17683,Bernt,Henders,F,54891,2000-08-25
17695,Kazuhiro,Chvatal,M,71240,1988-11-06
17702,Mantis,Passafiume,F,40000,1994-11-15
17702,Mantis,Passafiume,F,40000,1990-09-19
17727,Bingning,Picaronny,M,40000,2002-04-16
17869,Xiaocheng,Prochazka,F,40000,1998-06-12
17968,Susanna,Murillo,M,72186,1997-08-31
17973,Sanjit,Beidas,M,51947,1999-09-22
17987,Atreyi,Monkewich,F,80776,1999-11-13
18006,Vidya,Hanabata,F,108512,1997-01-20
18024,Uzi,Casperson,M,57859,1989-08-06
18024,Uzi,Casperson,M,57859,1991-07-05
18061,Francesca,Taubman,M,57737,1985-08-24
18223,Gully,Mitchem,M,48598,1990-08-26
18230,Kristian,Dulin,M,40000,1992-09-30
18061,Francesca,Taubman,M,57737,1986-01-08
18068,Geoff,Lorie,F,66242,1998-12-01
18250,Godehard,Orlowski,M,48469,1988-02-21
18080,Satyanarayana,Rosar,F,40000,1995-05-11
18086,Brewster,Szmurlo,M,74191,2000-05-21
18095,Tse,Puppe,F,40000,1996-12-16
18109,Yechiam,Junot,F,70723,1991-05-15
18323,Oddvar,Tiemann,F,40000,1994-01-25
18138,Moni,Baezner,M,62786,2000-03-10
18521,Irene,Dulli,M,61570,1991-11-18
18327,Sadegh,Alblas,F,68661,1991-08-29
18581,Mitsuyuki,Ranai,F,99867,1993-02-02
18362,Pohua,Wolniewicz,M,56027,1994-10-10
18362,Pohua,Wolniewicz,M,56027,1996-02-17
18369,Pintsang,Backhouse,M,53188,1996-08-18
18403,Vidya,Morrow,F,43239,2000-05-23
18407,Marsja,Luit,F,67557,1997-08-15
18435,Basim,Covnot,M,62089,1999-10-31
18612,Nevin,Sevcikova,M,101395,1992-06-05
18662,Bouchung,Luck,F,46998,1999-04-27
18492,Turgut,Brickell,M,66792,1996-10-06
18723,Yechezkel,Baumann,M,40000,2001-10-16
18666,Hitofumi,Baja,M,69504,1989-11-02
18681,Rimli,Tibblin,F,77064,2001-07-02
18756,Premal,Narahari,F,58164,1994-12-02
18769,Kirk,Luit,M,46459,1991-02-19
18892,Kamakshi,Matzat,M,75422,1996-02-25
18782,Fan,Pepe,M,40000,1989-04-16
18786,Guozhong,Veevers,M,40000,1997-09-16
18832,Pasqua,DiGiano,M,61763,2000-07-18
18979,Girolamo,Fujisawa,M,76060,1987-06-14
18857,Bogdan,Roison,M,40000,1994-05-25
18865,Roselyn,Beutelspacher,M,73055,1998-11-23
18866,Fumiyo,Hettesheimer,M,56470,2000-02-20
19035,Fuqing,Bellone,F,45728,1990-07-21
19052,Perla,Denna,F,93907,1989-07-23
19108,Ghassan,Tramer,M,70249,1993-01-27
19113,Persi,Bahr,F,99390,1995-06-15
19129,Bowen,Jiafu,F,40000,1994-01-14
19293,Elvia,Frezza,M,50563,1999-12-08
19160,Tetsurou,Jervis,F,72108,1994-04-28
19194,Uta,Pramanik,M,40000,2000-10-23
19202,Tommaso,Munke,M,72229,1990-12-31
19310,Bouchung,Guerreiro,M,55989,2001-10-29
19249,Saniya,Iivonen,M,40000,2000-09-13
19318,Xianlong,Halevi,F,55717,1991-02-18
19328,Yannik,Smeets,F,40000,1998-11-13
19343,Heping,Hempstead,F,44351,1986-11-18
19356,Masato,Prenel,F,51642,2000-10-02
19386,Leandro,Peltason,F,71095,1993-07-20
19442,Terresa,Perez,F,51952,1999-04-28
19445,Xinglin,Gecsel,M,46101,2000-10-15
19394,Charmane,Bahl,M,70830,2001-04-25
19482,Saniya,Riesenhuber,M,56885,1998-08-28
19422,Florian,Budinsky,F,48435,1999-06-18
19504,Mingsen,Valtorta,M,45465,1992-07-21
19516,Shigeu,Malabarba,F,66455,2001-01-20
19518,Genta,Vieri,F,48762,1998-05-21
19640,Tonny,Francisci,M,71369,2000-12-03
19570,Uwe,Kobuchi,F,40000,2002-03-19
19583,Edwin,Veccia,M,64800,1996-01-01
19666,Sugwoo,Keohane,M,69372,1987-12-23
19604,Nahla,Cappello,M,53992,1999-11-10
19612,Chenxi,Erdmenger,M,83131,1988-11-11
19614,Theron,Velasco,M,62330,1996-09-17
19689,Dipankar,Herath,M,48791,1997-11-26
19818,Ashish,Ventosa,M,40000,1998-07-18
19831,Kankanahalli,Begiun,M,59533,1999-08-19
19900,Honesty,Luon,M,54393,1995-05-29
19929,Saniya,Katzenelson,F,40000,1998-08-09
19929,Saniya,Katzenelson,F,40000,1995-02-11
19931,Satyanarayana,Pettis,M,60653,1995-05-14
19944,Arve,Yamaashi,F,48481,1991-09-23
19955,IEEE,Conry,M,65157,1990-03-26
19971,Muneo,Lanteri,M,40000,1994-02-24
19975,Mabry,Geffroy,M,40000,1996-06-28
19984,Zhonghui,Taubenfeld,M,63176,2001-11-25
20002,Jaber,Brender,M,64072,1992-07-22
20048,Moon,Mattern,M,45566,1990-12-31
20063,Guttorm,Carrere,F,52629,1994-04-02
20083,Subhrajyoti,Merkl,F,40000,1994-04-09
20117,Yoshimitsu,Hanabata,M,56609,1994-03-02
20130,Xiaoshan,Picco,F,78448,1990-08-13
20170,Emdad,Himler,M,85953,1997-05-04
19722,Achilleas,Boudaillier,M,41559,1992-06-12
19737,Harngdar,Cools,F,86017,1999-03-26
20181,Thodoros,Wegerle,M,87295,1999-12-24
19746,Shiv,Zeidenstein,M,41247,1992-05-20
20189,Mark,Nanard,M,40797,1999-01-05
20197,Bodo,Braccini,F,40000,1990-09-07
19776,Kersti,Comellas,F,40000,1986-10-13
20218,Ioana,Gihr,M,40000,1990-01-20
20221,Shietung,Munoz,F,40000,1991-09-01
20375,Conor,Birrer,F,40000,2001-01-26
20305,Gou,Birnbaum,F,106332,1994-09-08
20327,Doowon,Lyonns,M,42856,1990-07-20
20338,Reinhard,Butner,F,40000,2000-02-27
20405,JiYoung,Mitina,M,51756,1995-04-19
20416,Oddvar,Swiler,M,40000,1988-05-13
20416,Oddvar,Swiler,M,40000,1985-11-24
20440,Genki,Fabrizio,M,51065,2000-05-23
20490,Soenke,Douceur,M,40410,1995-07-04
20562,Pranay,Riexinger,F,45899,2002-07-09
20538,Gro,Hebert,M,61619,2000-11-26
20601,Dipankar,Duclos,F,54492,1996-10-19
20602,Martins,Dratva,M,53455,1998-11-20
20640,Maris,Baba,F,40000,1999-07-14
20794,Shaz,Rathonyi,M,70498,1991-12-07
21133,Carrsten,Brizzi,M,80323,1997-08-26
20928,Menkae,Chinin,M,42339,1996-04-23
20949,Herb,Flasterstein,F,41828,1996-12-13
20957,Kersti,Wiegley,M,40000,1993-02-19
20965,Tadanori,Bahl,F,40000,1990-11-10
20974,Hisao,Yavatkar,M,80291,1994-11-23
21053,Selwyn,Jakobus,F,89731,1993-01-13
21299,Tamiya,Navazio,M,40000,1998-11-21
21321,Laurentiu,Raney,M,58022,1989-09-03
21344,Mohammed,Vanwelkenhuysen,F,84814,1999-09-22
21391,Zijian,Pagter,M,58700,1994-01-29
21412,Paloma,Brizzi,M,55407,1988-08-04
21421,Avishai,Yoshizawa,F,58531,1994-08-11
21458,Yechiam,Kitai,M,40000,1993-12-19
21470,Kousuke,Botman,M,45639,1986-05-14
21135,KayLiang,Alpay,M,93668,1999-01-19
21178,Ymte,Skrikant,F,40000,1998-01-19
21479,Jeane,Kuszyk,F,42045,1997-01-27
21509,Udo,Rubsam,M,70233,1995-07-31
21192,Sajjad,Krohm,M,40000,1993-07-06
21537,Boutros,Mitchem,M,90832,1998-06-03
21537,Boutros,Mitchem,M,90832,1996-10-05
21211,Sasan,Pero,M,55407,1995-12-10
21555,Uinam,Biron,F,40000,2000-02-04
21560,Kyoichi,Dechter,M,66010,2000-05-14
21275,Waiman,Suppi,M,40000,1997-06-07
21597,Masami,Pezzoli,F,40000,2000-01-16
21609,Sibyl,Pappas,M,80510,1998-11-04
21846,Otilia,Valiente,F,52743,1999-08-18
21871,Yongmao,Seiwald,F,43249,1995-06-13
21683,Jiang,Velasco,M,51350,1988-10-13
21693,Palash,Schurmann,M,87515,1992-07-28
21897,Sampalli,Kavanagh,M,85262,1997-02-07
21715,Shawna,Skrikant,M,48853,2000-08-16
21725,Hyuncheol,Calkin,M,47368,2000-12-28
21915,Kitty,Erie,M,40000,1999-11-28
21750,Padma,Shumilov,M,41094,1994-04-04
21758,Susumu,Picht,F,81328,2002-07-31
21932,Shmuel,Grandbois,M,51378,2002-02-28
21783,Domenick,Qiwen,F,64772,1989-05-09
21944,Eric,Bresenham,M,40000,1995-02-15
21953,Bader,Michaels,M,88127,1991-02-13
21953,Bader,Michaels,M,88127,1990-11-20
21976,Randy,Uhrig,M,56844,1996-08-03
21987,Dipankar,Fontet,M,56799,1999-06-24
22023,Mart,Vidya,M,46984,1998-10-12
22310,Sahrah,Sinitsyn,M,44049,2000-05-30
22100,Vishwani,Spataro,M,85569,1995-11-18
22146,Volkmar,Suermann,F,40000,2001-10-26
22196,Aruna,Mukaidono,F,40000,1996-05-05
22205,Rafols,Sichman,M,53244,1989-11-10
22311,Suzette,Kalsbeek,M,40000,1989-12-29
22382,Goh,Rusmann,M,65504,1993-06-15
22441,Angus,Neiman,M,64361,1998-02-12
22441,Angus,Neiman,M,64361,1996-08-20
22391,Conor,Sevcikova,F,40000,1993-01-26
22584,Bezalel,Feldhoffer,M,40000,2002-06-23
22508,Basem,Lienhardt,M,45862,2001-07-07
22584,Bezalel,Feldhoffer,M,40000,2001-09-28
22530,Tetsurou,Bazelow,M,80189,1996-08-07
22590,Suzette,Veevers,F,83493,2001-10-21
22535,Alejandra,Chachaty,M,60182,2000-01-14
22536,Sukumar,Andreotta,M,40000,1996-11-12
22623,Tommaso,Champarnaud,M,46491,1999-02-16
22554,Rosine,Koprowski,M,48595,1995-08-22
22663,Bokyung,Fargier,M,64475,1996-06-21
22688,Sham,Ebeling,M,43606,1999-10-02
22769,Yongmin,Varley,F,56079,2001-12-11
22783,Takahiro,Beerel,M,83582,1997-12-17
22688,Sham,Ebeling,M,43606,1991-11-07
22693,Emran,Valiente,F,75385,1994-06-28
22722,Chenye,Pietrzykowski,F,40000,1996-09-05
22809,Ziyad,Krupka,M,40000,1991-01-08
22810,Lena,Shanbhogue,F,49175,1986-10-16
22816,Berto,Greibach,M,40000,1999-06-06
22731,Genevieve,Kranzdorf,M,40000,2001-06-30
22838,Brendon,Markovitch,F,40000,1998-01-26
22740,Koichi,Gelosh,F,49686,2000-03-15
22849,Moon,Solovay,M,59451,2002-01-29
22749,Snehasis,Famili,M,53701,1996-09-20
22860,Taizo,Parascandalo,M,70362,1993-09-05
23034,Josyula,Rosca,F,40000,2001-04-01
22878,JoAnna,Tasistro,M,46933,1998-01-16
22886,Gudjon,Templeman,F,40000,2000-12-09
22887,Arno,Henseler,M,74536,2002-03-27
22894,Muzhong,Casley,M,76090,1989-02-07
22928,Sanjeeva,Angot,F,40000,1995-09-14
23041,Nechama,Frijda,M,40000,2001-02-28
23136,Narain,Skogmar,M,56024,2002-01-26
23053,Radhakrishnan,Riefers,F,40000,2001-03-30
23061,Yucai,Eiron,M,40000,1991-10-30
23187,Kwangho,Wossner,F,64069,1992-05-30
23211,Subir,Pehl,M,40000,2002-07-17
23230,Xiaoqiang,Fendler,M,40000,1991-11-10
